,GSM215051,GSM215052,GSM215053,GSM215054,GSM215055,GSM215056,GSM215057,GSM215058,GSM215059,GSM215060,GSM215061,GSM215062,GSM215063,GSM215064,GSM215065,GSM215066,GSM215067,GSM215068,GSM215069,GSM215070,GSM215071,GSM215072,GSM215073,GSM215074,GSM215075,GSM215076,GSM215077,GSM215078,GSM215079,GSM215080,GSM215081,GSM215082,GSM215083,GSM215084,GSM215085,GSM215086,GSM215087,GSM215088,GSM215089,GSM215090,GSM215091,GSM215092,GSM215093,GSM215094,GSM215095,GSM215096,GSM215097,GSM215098,GSM215099,GSM215100,GSM215101,GSM215102,GSM215103,GSM215104,GSM215105,GSM215106,GSM215107,GSM215108,GSM215109,GSM215110,GSM215111,GSM215112,GSM215113,GSM215114
HAGHL,6.7308699999999995,6.45844,6.4577,6.12217,6.38128,6.66713,6.0792,5.93755,6.14461,6.12861,6.017530000000001,6.26513,6.54599,6.5577,6.135759999999999,6.25462,6.44575,6.41139,6.2060699999999995,6.3618,5.95475,6.2904,6.06365,6.32779,5.90001,6.59581,6.25723,6.30225,6.02249,6.08365,6.1952300000000005,6.58743,6.4574300000000004,6.77343,6.3363,6.35406,6.22663,6.899089999999999,6.42746,6.36626,6.2592,6.6315100000000005,6.53204,6.1723,6.46735,6.2441699999999996,6.602539999999999,6.33372,6.26849,6.78257,6.2878300000000005,6.8785,6.326890000000001,6.32736,6.35316,6.28972,6.5330900000000005,6.45597,6.14297,6.65992,6.32472,6.2950099999999996,6.5707,6.37967
LDHA,12.25827,12.2582,12.31268,12.2937,12.09806,12.19957,12.277519999999999,12.34956,12.103860000000001,12.26918,12.43688,12.49939,12.49968,12.4669,12.23625,12.02727,12.21924,12.40739,12.2846,12.47595,12.06219,12.214369999999999,12.24717,12.208689999999999,12.443769999999999,12.311910000000001,11.91873,11.89201,12.27767,12.30315,11.99925,12.11316,12.73775,12.78207,12.99297,12.577110000000001,12.49499,12.559000000000001,12.29491,12.73162,12.5827,12.96922,12.46963,12.72162,12.89925,12.43029,12.425,12.78851,12.7804,12.480089999999999,12.99006,12.76953,12.36669,12.618260000000001,12.64493,12.41775,12.75606,12.09532,12.2273,12.61428,12.6024,13.20876,12.6803,12.689739999999999
LDHAL6A,4.14304,4.1601300000000005,4.61906,4.13975,4.18975,3.70851,3.97456,4.11292,4.09731,4.16549,4.1607,4.0286599999999995,4.4246300000000005,3.87091,4.1489199999999995,4.1248,4.10794,4.03941,3.7259599999999997,4.16467,3.9966,4.02643,4.07886,4.15393,4.45654,4.15139,4.1039699999999995,4.04962,4.10615,4.02645,3.8086699999999998,4.173369999999999,3.9778,3.9658,4.3426599999999995,4.30671,4.102609999999999,4.5826199999999995,3.92326,4.0422199999999995,4.0563199999999995,4.28606,4.22998,4.1144,4.03229,4.090380000000001,4.42871,4.469069999999999,4.18773,3.88246,3.69845,4.30735,3.9564,4.14824,4.06065,3.94156,4.01388,4.40003,4.17034,4.01665,3.8713,4.00522,4.19759,4.09567
LDHAL6B,2.88844,3.14803,3.4465800000000004,3.17615,3.07216,2.95945,3.3414900000000003,3.11057,3.1452299999999997,3.04435,3.3420300000000003,3.07133,3.1001,3.1711400000000003,3.0110200000000003,3.05872,3.2044200000000003,3.16072,2.84002,3.13936,2.89013,3.1989400000000003,3.07987,3.2570099999999997,3.4015400000000002,3.43235,3.50366,3.12499,3.1311,3.14364,2.97123,3.3407699999999996,3.0691900000000003,3.1165700000000003,2.94271,3.05701,3.17067,3.11646,3.1042400000000003,3.1415900000000003,3.1208,3.35635,3.30061,3.0932,3.1926799999999997,3.1772400000000003,3.3453,3.07287,3.15036,3.2389900000000003,3.16495,2.9456700000000002,3.04161,3.06778,3.06385,3.1061799999999997,3.12126,3.10736,3.4765800000000002,3.4020099999999998,3.23433,2.96603,3.02412,3.2130799999999997
LDHB,10.853755,11.114609999999999,10.72773,10.75064,11.266160000000001,11.229885,11.3339,11.044855,10.83099,10.89104,10.954665,11.372399999999999,10.92284,11.19655,11.037745000000001,10.712395,11.478845,11.004865,11.03191,10.86429,10.974319999999999,11.13972,10.991975,10.927055,11.01624,10.938655,10.94867,10.958385,10.705845,11.085225,10.796015,11.075815,12.015535,11.053145,12.152940000000001,12.171215,11.88883,12.132280000000002,12.040244999999999,12.374880000000001,12.089595,12.003115000000001,11.70213,11.702975,10.925125000000001,11.973505,12.314419999999998,12.53388,12.363555000000002,12.50984,12.00754,11.713070000000002,11.871089999999999,11.790689999999998,12.178560000000001,12.178889999999999,12.1415,11.527180000000001,10.92567,10.199670000000001,11.824214999999999,12.12132,11.906665,11.776845
LDHC,4.4449,4.52433,4.3413,4.872669999999999,4.601369999999999,4.94104,4.55478,4.22436,4.34997,4.4486,4.31643,5.13339,5.03531,4.98114,4.53298,4.59437,4.51767,4.51041,4.62369,4.81548,4.50522,4.4547,4.65546,4.51309,5.0772900000000005,4.30203,4.37054,4.37742,4.3985199999999995,4.5225599999999995,4.44382,4.638719999999999,4.71176,4.6281300000000005,5.27351,4.80072,5.1912400000000005,4.8036,4.67762,4.89759,4.793419999999999,4.57078,4.79061,5.74226,5.15945,5.11001,4.52525,4.85048,4.6272400000000005,4.824269999999999,4.708419999999999,4.74271,4.21333,4.61613,4.534669999999999,4.44709,5.9529,4.37259,4.75096,5.03757,4.76927,4.79269,4.671069999999999,4.69211
LDHD,6.46515,6.65384,5.78902,5.52163,6.8669199999999995,7.07092,6.119280000000001,6.4027,6.3217,6.29392,5.57948,6.58886,6.22023,6.40656,5.676419999999999,6.20608,5.81675,6.35559,6.3756699999999995,6.757680000000001,6.916,6.3376,6.718039999999999,5.9359,6.979419999999999,6.38049,5.73821,5.95591,6.01979,6.4004900000000005,6.8598300000000005,5.96971,4.7628900000000005,5.06427,5.70844,5.1759699999999995,5.7395,5.86532,6.20456,5.64027,5.7087699999999995,5.3632,6.17024,4.12978,4.64774,5.3892,5.12694,5.65002,4.6513,5.23578,5.99257,5.9195,5.73566,5.70062,4.67089,5.06266,4.95544,5.83004,5.7495,5.03416,4.85524,4.48579,5.0797099999999995,5.51893
ME1,4.592133333333333,5.8831999999999995,5.279983333333333,5.1024166666666675,6.0593,6.001926666666667,6.08678,5.308003333333334,6.3271299999999995,6.107689999999999,5.851733333333333,6.108506666666667,6.372883333333333,6.069933333333334,6.431526666666666,5.50318,6.05688,5.342786666666666,6.095293333333333,5.52994,5.455253333333334,5.1421133333333335,6.07876,5.7328833333333336,5.705189999999999,5.57965,5.832583333333333,5.58452,6.0079633333333335,5.733763333333333,5.567176666666666,6.058283333333333,5.768316666666666,6.884623333333333,6.408576666666666,6.5009733333333335,7.806699999999999,7.140509999999999,8.263963333333333,7.687399999999999,7.545616666666667,7.158693333333333,6.314800000000001,6.733833333333333,7.20479,7.137473333333333,7.120450000000001,7.12152,7.526776666666668,6.745659999999998,7.774073333333334,7.18175,6.534413333333333,6.6407033333333345,6.957999999999999,6.983893333333334,7.513903333333334,7.912236666666666,6.762626666666667,7.037693333333333,7.1232,6.938066666666667,8.112183333333332,6.961406666666666
ME2,9.225253333333333,9.07032,9.354529999999999,9.16589,9.238733333333334,9.16158,8.842516666666667,9.088716666666667,9.070033333333333,9.304409999999999,9.416229999999999,9.644273333333333,9.147340000000002,9.774893333333333,9.222173333333332,9.67329,8.947553333333333,9.34055,9.194370000000001,9.19256,9.326856666666666,9.398466666666666,8.933036666666666,8.946286666666667,9.13932,8.90474,8.67108,8.759129999999999,9.386626666666666,9.485793333333334,9.612583333333333,9.1356,7.79886,8.74256,9.20252,9.261809999999999,9.516666666666667,9.248006666666667,9.501773333333333,9.370283333333333,9.677653333333334,8.876873333333334,8.700786666666666,9.274416666666667,9.298889999999998,9.602696666666667,9.091503333333334,9.756026666666665,8.722946666666667,9.58091,9.469923333333334,9.34304,8.949036666666666,9.454206666666666,8.865976666666667,9.475656666666666,9.619606666666668,9.249713333333334,8.94103,8.128773333333335,8.0483,8.94936,9.078273333333334,9.129219999999998
ME3,6.47133,5.93203,6.127220000000001,5.632745,5.78537,5.937984999999999,5.8668499999999995,6.19155,5.892945,6.05232,5.767225,6.01929,5.5608450000000005,6.26704,5.718389999999999,6.11937,6.15532,6.090199999999999,5.977265,6.09325,5.943045,6.1854700000000005,5.936935,6.090945,6.040775,6.018185,6.128465,6.2398,6.30443,6.306555,6.846495,6.650985,6.29249,6.2648399999999995,6.216609999999999,6.31111,6.236245,7.012265000000001,6.63471,6.529425,6.404555,6.5049399999999995,6.593815,6.3192200000000005,5.8175550000000005,6.322545000000001,6.298225,6.24033,6.246874999999999,6.671725,6.200305,6.5767500000000005,6.534385,6.308165000000001,6.353415,6.675445,6.678285,6.427569999999999,6.69267,5.856025,6.4948749999999995,6.7483949999999995,6.737694999999999,7.000565
