,Unnamed: 0,gene,slope,intercept,r_value,r_squared,p_value,std_err,fdr
0,0,A1BG,0.3651009478023745,5.5887937147575935,0.3570454096492739,0.12748142455161782,0.003777293843323208,0.12130564251931687,0.01104771720383091
1,1,A1BG-AS1,0.22272341604351015,6.0216126742327365,0.25700044204762923,0.06604922721267684,0.04035910999021106,0.10636485608940513,0.08752018093711401
2,2,A1CF,0.21694134912042126,5.2447200954624975,0.6989519846208866,0.4885338768054761,1.336673372284783e-10,0.028190812064024795,4.225644069609778e-09
3,3,A2M,0.3054993727476136,4.8051051084931125,0.7136673034772254,0.5093210200524542,3.621620559291257e-11,0.03808179448155533,1.4714107544362507e-09
4,4,A2M-AS1,0.3771597725309335,5.679212792781156,0.5194309929162736,0.2698085564019859,1.0919953652996647e-05,0.07879887751482723,6.091488829357094e-05
5,5,A2ML1,0.032702645938477486,6.893134539661246,0.021087131249671102,0.00044466710434085566,0.8686366222936387,0.19691235526288264,0.9186972432609888
6,6,A2MP1,-0.2810196813604936,7.996512923545008,-0.2532069694327981,0.06411376936934197,0.043512192019501364,0.13635678903534626,0.09320966645388289
7,7,A4GALT,0.2943719100920429,5.118203657057402,0.38793102873325774,0.15049048305404364,0.001538563027188049,0.08882395919670649,0.004966842926916697
8,8,A4GNT,-0.06406636050976011,7.281881483108134,-0.052495371833899185,0.0027557640639793365,0.6803613347910162,0.15477968540952808,0.7845167574493853
9,9,AA06,-0.004066909595111546,7.034161216738411,-0.005083924430374236,2.5846287613756e-05,0.9681967397715469,0.10159304437535203,0.9813386566699204
10,10,AAAS,-0.30332961274080145,9.265442451632648,-0.3593162276093071,0.1291081514233834,0.00354623421829521,0.10005164817197357,0.010455235125552454
11,11,AACS,-0.1783422993536501,8.423092512571879,-0.2977569747841749,0.08865921603262376,0.016867504083238713,0.07261677819974685,0.04127763599531408
12,12,AACSP1,0.14007780607767087,6.5634964122082975,0.0993529572296715,0.009871010110280931,0.4347473644094144,0.17817163945732428,0.5756400461309354
13,13,AADAC,-0.2601053361439366,8.195566576576686,-0.4323957792362736,0.18696610990134424,0.0003595235750695514,0.06888525900432432,0.001357301781403615
14,14,AADACL2,-0.03844780900038649,7.137929551292702,-0.02248542450046638,0.0005055943149661737,0.8600108996016246,0.21710250978061493,0.9129124013193922
15,15,AADACP1,-0.08216173325160096,7.432136208190283,-0.23002376084544435,0.05291093055348218,0.06747074514739987,0.04414651852573583,0.13426566680453447
16,16,AADAT,-0.1799783130227273,8.028805119439061,-0.612937775595948,0.3756927167525087,7.299338154653818e-08,0.029465047451952893,7.617694830796551e-07
17,17,AAED1,-0.3254118985538075,8.919998654257151,-0.6151148992342037,0.3783663392599046,6.369091331177912e-08,0.052972271813266816,6.788331215813443e-07
18,18,AAGAB,-0.04821985591365068,7.306361644424226,-0.03879213727008416,0.0015048299139810526,0.7608725499873227,0.15774635753371516,0.8453659552270497
19,19,AAK1,0.721188127570681,3.3872650084829408,0.655429515917702,0.4295878503361133,4.175618370793487e-09,0.1055409775667528,6.971705151852966e-08
20,20,AAMDC,0.38575382279398,4.683595765802063,0.3213728603151511,0.10328051534714162,0.00961447457959545,0.14435555439630227,0.02529076657395106
21,21,AAMP,-0.3795767271658711,10.264327167911382,-0.3215935575588627,0.10342241626336554,0.00956213267737201,0.1419352706740391,0.02516320125513317
22,22,AANAT,0.039739651158568486,6.866655275278975,0.028916725188758624,0.0008361769956421875,0.8205623156586814,0.17446063487459812,0.8870888595471392
23,23,AAR2,-0.5148087065327474,10.932251478279284,-0.5175405697595732,0.26784824134706364,1.1905431895383161e-05,0.10809514632604753,6.57348617273132e-05
24,24,AARS,-0.32090424584732563,9.872404099616537,-0.6673080034221088,0.4452999714312012,1.7273577702329817e-09,0.04548648513172519,3.324971779057353e-08
25,25,AARS2,-0.04194905897335748,7.281805829223473,-0.033950674357379286,0.0011526482893208115,0.7899858137673599,0.15682941930121366,0.8650893955566209
26,26,AASDH,-0.20105914685113307,8.281411827305469,-0.3235157307041249,0.10466242801302388,0.009116640769158545,0.07468372871132455,0.02414048127367673
27,27,AASDHPPT,-0.3745548326933477,9.335198343997169,-0.5838851563270807,0.3409218757790995,4.096695084384014e-07,0.06613944922739565,3.3588814111805723e-06
28,28,AASS,0.2767818914221313,6.0825728431428185,0.18052813296750755,0.03259040679273409,0.15343028632425426,0.19151470781398927,0.2615138016805766
29,29,AATF,-0.3699761161990889,10.094174736115654,-0.5664473051432685,0.3208625495040711,1.0669849707894678e-06,0.068359231127033,7.803296029194842e-06
30,30,AATK,0.1787068364324818,5.881777429560317,0.2768593476291312,0.07665109836962809,0.026780050053585483,0.0787714879714035,0.06157591674563534
31,31,AB488780,-0.20358202042564946,8.320376995108447,-0.21207879087440346,0.044977413538748935,0.09249362196852436,0.11913878263400657,0.17444255214495688
32,32,ABAT,0.2603510854768802,5.23254545379321,0.6078747850676193,0.3695117543210043,9.982804792223207e-08,0.04319046861136713,9.971293255331805e-07
33,33,ABCA1,0.34806824658105,5.093763951115995,0.5579067264929926,0.3112599154661268,1.6719325174115038e-06,0.06575588737113909,1.1472021123113471e-05
34,34,ABCA11P,-0.09875806515376492,7.564766079583241,-0.14910101177143514,0.02223111171126564,0.23964066750330296,0.08317910529747301,0.37051396935484976
35,35,ABCA12,-0.17908858851667114,7.6097546620737635,-0.4375745745957551,0.19147150833265605,0.0002995056066171119,0.046737734145189835,0.0011501673898374814
36,36,ABCA13,-0.3586093713823201,8.047856544343594,-0.1848409046570632,0.03416616003444152,0.14368215614413735,0.2421468998907477,0.2482793721114981
