GSM215051,Normal
GSM215052,Normal
GSM215053,Normal
GSM215054,Normal
GSM215055,Normal
GSM215056,Normal
GSM215057,Normal
GSM215058,Normal
GSM215059,Normal
GSM215060,Normal
GSM215061,Normal
GSM215062,Normal
GSM215063,Normal
GSM215064,Normal
GSM215065,Normal
GSM215066,Normal
GSM215067,Normal
GSM215068,Normal
GSM215069,Normal
GSM215070,Normal
GSM215071,Normal
GSM215072,Normal
GSM215073,Normal
GSM215074,Normal
GSM215075,Normal
GSM215076,Normal
GSM215077,Normal
GSM215078,Normal
GSM215079,Normal
GSM215080,Normal
GSM215081,Normal
GSM215082,Normal
GSM215083,Adenoma
GSM215084,Adenoma
GSM215085,Adenoma
GSM215086,Adenoma
GSM215087,Adenoma
GSM215088,Adenoma
GSM215089,Adenoma
GSM215090,Adenoma
GSM215091,Adenoma
GSM215092,Adenoma
GSM215093,Adenoma
GSM215094,Adenoma
GSM215095,Adenoma
GSM215096,Adenoma
GSM215097,Adenoma
GSM215098,Adenoma
GSM215099,Adenoma
GSM215100,Adenoma
GSM215101,Adenoma
GSM215102,Adenoma
GSM215103,Adenoma
GSM215104,Adenoma
GSM215105,Adenoma
GSM215106,Adenoma
GSM215107,Adenoma
GSM215108,Adenoma
GSM215109,Adenoma
GSM215110,Adenoma
GSM215111,Adenoma
GSM215112,Adenoma
GSM215113,Adenoma
GSM215114,Adenoma
