,Unnamed: 0,gene,slope,intercept,r_value,r_squared,p_value,std_err,fdr
0,0,A1BG,0.2147501643687042,8.020954919315002,0.12317012403404573,0.015170879454562206,0.3322265208362558,0.2197418225770056,0.45508035351439813
1,1,A1BG-AS1,-0.05907827685228395,9.123956254777829,-0.03998132578524617,0.0015985064115459904,0.7537701261267445,0.18751127837303344,0.8249305307083188
2,2,A1CF,0.3756157656194462,5.7939250517760525,0.7097578401313143,0.5037561916278682,5.163904785159366e-11,0.04734622087306818,9.39700488425429e-09
3,3,A2M,0.4619607114236218,5.517483114264163,0.6329244880589606,0.4005934075846974,2.006192721426772e-08,0.07176588672875593,6.798764222612949e-07
4,4,A2M-AS1,0.5565747396672367,6.887979360506918,0.44955969317267824,0.20210391772551264,0.00019404769355118584,0.14044731703540073,0.0011484292986747551
5,5,A2ML1,-0.5117159195111539,10.778444077651617,-0.19351958193868687,0.037449828593724144,0.12548111209338852,0.3294730179702816,0.21869913173784358
6,6,A2MP1,-0.7667369083213885,11.536267021431014,-0.4051787571369004,0.1641698252350033,0.0008962555071472904,0.21971660487505745,0.00407825446675238
7,7,A4GALT,0.05563427959339843,8.501647155248017,0.042999360957183035,0.001848945042726116,0.7358371495959674,0.16416582661014398,0.8110838580118432
8,8,A4GNT,-0.3981601882840027,10.514400474390946,-0.1913419415379377,0.03661173859150757,0.12987415758582646,0.2593895567801885,0.2245628299681469
9,9,AA06,-0.2682684877733434,10.076638965117382,-0.19668244996693196,0.038683986124994685,0.11930293528671013,0.1698405139899347,0.21064044546544702
10,10,AAAS,-0.7015277678190298,14.063324250769488,-0.4873806322686039,0.2375398807105441,4.418149923943929e-05,0.15962074023492115,0.00033266702574063204
11,11,AACS,-0.10349769890578008,9.677007274805085,-0.10134437672769812,0.010270682694325602,0.4255496006681704,0.12903080617464388,0.5469742303800242
12,12,AACSP1,-0.0637185143741049,9.065972746687377,-0.026505651835076943,0.0007025495792023177,0.8353051290306921,0.3051959016869592,0.8850008595899818
13,13,AADAC,-0.4332842537538426,10.82565503505172,-0.422441397515032,0.17845673433445325,0.0005066293825692721,0.1180662612729832,0.0025490379366955363
14,14,AADACL2,-0.6169160275588582,10.821164981687279,-0.21160061651030607,0.04477482090754164,0.09324830303163656,0.36188131583642624,0.17469611507420787
15,15,AADACP1,0.021294194131183487,8.752341003371452,0.03496436914447057,0.0012225071096708055,0.7838649548295618,0.07729902946036309,0.8471202513641162
16,16,AADAT,-0.2434643505041139,10.230706922459188,-0.4862873471442882,0.2364753839926295,4.622680427662887e-05,0.05555946887720204,0.0003455441652089742
17,17,AAED1,-0.32922425604653394,10.786852012428394,-0.36498584609224216,0.1332146678476699,0.0030231837040671085,0.10665365269427546,0.011240907127673977
18,18,AAGAB,-0.048480638330210296,9.152477313098004,-0.02287428402248021,0.0005232328695410933,0.8576149706680658,0.26909853105937137,0.9007078493267262
19,19,AAK1,0.8920447083824401,4.3721917824686765,0.475472526737853,0.2260741236824784,7.173886265246458e-05,0.2096114645214464,0.0004971216226365185
20,20,AAMDC,1.0367316002795877,2.592567931494341,0.5065550813241886,0.2565980504153553,1.9473101894254693e-05,0.2241071245064644,0.00017282143009762923
21,21,AAMP,-0.5175682178769814,13.28987065181933,-0.2571797343326497,0.0661414157514123,0.040214890765376335,0.246987838502449,0.09109345810922852
22,22,AANAT,-0.2687465195169144,9.868349865390485,-0.11469098589289105,0.01315402224508333,0.3668301321661129,0.2956258490737381,0.49071574697659837
23,23,AAR2,-0.453543742852609,12.310707449052249,-0.2674108820239285,0.0715085798248154,0.03266370311842152,0.2075550028653035,0.07739714312609892
24,24,AARS,-0.4482755609803456,12.850804728120535,-0.5467103721842929,0.298892231053888,2.957047560307195e-06,0.08719353683564446,3.680164650485765e-05
25,25,AARS2,-0.07239480638321165,9.319468322356297,-0.03436330868192479,0.0011808369835692475,0.7874927099866478,0.26739915211520165,0.8496709900449483
26,26,AASDH,-0.0161178025036608,8.961728436677475,-0.015210334940522532,0.0002313542890028805,0.9050445987654906,0.13456154466056208,0.9355900699955461
27,27,AASDHPPT,-0.2771677715637529,10.576660739356091,-0.2534055603272131,0.06421437800474884,0.043342236291461965,0.13437513986679894,0.09657126524247442
28,28,AASS,0.21302176910785908,8.142078897559497,0.08148779856342113,0.0066402613147126975,0.5220947198020648,0.3308939555959655,0.6361709173681007
29,29,AATF,-0.4587617566319202,12.677475633350381,-0.41194042545350895,0.16969491412281795,0.0007193840443772301,0.12887711279742214,0.00339988247075271
30,30,AATK,0.007284826372083624,8.814040784724417,0.006619094933151753,4.381241773407521e-05,0.9586006844955716,0.13977040917198508,0.971926461459566
31,31,AB488780,-0.5123551499702075,12.143694099360964,-0.31303313071996924,0.09798974092834536,0.011783810883649206,0.1974197942489726,0.034307397779702015
32,32,ABAT,0.4441737196672556,5.81806607822499,0.6082315945054504,0.3699456725546426,9.766704826661704e-08,0.07361681739080056,2.32985839067602e-06
33,33,ABCA1,0.5626216361980998,5.753590585232928,0.5289017473404279,0.2797370583397579,7.027662076454089e-06,0.11465450351182548,7.423610842225038e-05
34,34,ABCA11P,0.23348359257026866,7.562214280450799,0.20674059657752586,0.042741674273231285,0.10119485479982662,0.14032961488394252,0.18597764412206105
35,35,ABCA12,-0.23074013291238785,9.625625694492898,-0.33065011981210585,0.10932950173175997,0.0076173086362374565,0.08364060065640731,0.024049106067607833
36,36,ABCA13,-0.2376741317648269,9.544329327626588,-0.07184883773858823,0.005162255484385979,0.5726234610627576,0.41902742804547655,0.6795724750017967
